,Data
0,2022-11-05 16:03:40
1,2022-11-04 16:44:40
2,2022-11-03 14:12:01
3,2022-11-02 22:35:44
4,2022-11-01 17:48:44
5,2022-11-01 02:42:47
6,2022-10-30 23:27:41
7,2022-10-29 22:37:44
8,2022-10-28 18:50:39
9,2022-10-27 15:24:49
10,2022-10-27 03:22:11
11,2022-10-26 04:11:46
12,2022-10-25 03:57:55
13,2022-10-23 23:12:06
14,2022-10-22 16:33:49
15,2022-10-21 23:27:50
16,2022-10-20 17:59:49
17,2022-10-20 02:59:04
18,2022-10-18 17:54:44
19,2022-10-17 19:26:38
20,2022-10-16 16:40:42
21,2022-10-15 21:05:45
