"Moment ID",Region,"Timestamp (UTC)"
Ih9_rHUBfbyKRzG9_PRnP,europe-west,"2022-11-06 19:01:46"
AE2DSUAmmM7AxvNhOJx-a,asia-west,"2022-11-06 16:43:25"
mXfIpIf-pHNrATn70J2Aq,asia-east,"2022-11-06 12:04:24"
gOcWct9juv2kWdbr3cqNK,us-central,"2022-11-05 16:03:40"
dhH1OhugGbS0zu-ajd0TQ,europe-west,"2022-11-05 15:03:45"
YB7rsXZ7Ii3ZXTVYYlEgb,asia-west,"2022-11-05 07:15:26"
Y8nKP4aTB2uy-MaP2fFwk,asia-east,"2022-11-05 05:39:22"
vD4dQ8XSqKWZrUC7yu2Jq,us-central,"2022-11-04 16:44:40"
ZsdQN0wxlgSvqQjsFTzCA,europe-west,"2022-11-04 14:28:42"
-NE8QFQhg7_5N_xcFdBXg,asia-west,"2022-11-04 09:21:01"
tzj5391RpAxN42aQ3D6-z,asia-east,"2022-11-04 03:04:21"
KT6MBiXW5C1NxDb4V3bAN,us-central,"2022-11-03 14:12:01"
psEq66oQw29VHvnMiA2-3,europe-west,"2022-11-03 12:37:33"
7Qx2AoqTVGkUZ_zNKlKRT,asia-east,"2022-11-03 10:05:22"
BsfsZTCgMYZaY4pgj2N0m,asia-west,"2022-11-03 07:26:25"
hFMPr1sMhdrfcMO2StStp,us-central,"2022-11-02 22:35:44"
4pJH79AtRywsHcm794-7v,europe-west,"2022-11-02 17:08:40"
7bJpGy8IgXg0c6zmsY7Q3,asia-west,"2022-11-02 07:12:24"
r4g_O9buoefStFw28p1XO,asia-east,"2022-11-01 23:49:20"
Z8CainVOmNAj9_aOuc8u4,us-central,"2022-11-01 17:48:44"
2Jl1868aa2TxBSHQn7sjr,asia-east,"2022-11-01 09:39:18"
c1Esmlziv-C_jgylSCKKI,europe-west,"2022-11-01 08:58:48"
UuQGxNcLDF2uZhMDfPdOA,asia-west,"2022-11-01 08:10:23"
u1-90STZ6evZ2VtfAI8n4,us-central,"2022-11-01 02:42:47"
dwDgrdioIkOmQU8KjtSlg,europe-west,"2022-10-31 18:42:50"
3h3yFGnaZxpnij7c33ES0,asia-east,"2022-10-31 13:00:16"
8-hMLZqiCNBT3mwCACSqP,asia-west,"2022-10-31 08:25:22"
boa81_vKQbgFGRjR3x3n6,us-central,"2022-10-30 23:27:41"
z-yAucgLhI0_Sp_tr-_-G,europe-west,"2022-10-30 11:22:35"
nA1PeVLNVjyFxX9DKy7pH,asia-west,"2022-10-30 06:57:24"
TPbDbcleDstX2RamNeN_f,asia-east,"2022-10-30 04:09:19"
tlaBreN7InyiRXssQaHz2,us-central,"2022-10-29 22:37:44"
LhjSE93Wa3AS6Vo6_etKc,europe-west,"2022-10-29 19:29:01"
3Mz1hHneDUXuPJQURJ0K4,asia-west,"2022-10-29 15:22:22"
